X_Y    13CO J=2-1    C+ 158um    CH+ J=1-0    CO J=10-9    CO J=2-1    HCO+ J=3-2
11_5    2.5629674e-07    0.0017952537    6.7735533e-07    1.1486414e-05    2.1441995e-06    1.5585984e-08
12_5    2.495899e-07    0.0017020323    6.0563923e-07    1.0426789e-05    2.1380354e-06    2.0983249e-08
13_5    2.4053986e-07    0.0017584829    1.8328387e-07    6.8453132e-06    2.1094102e-06    2.2424402e-08
14_5    2.3901416e-07    0.001945682    4.1163318e-07    7.882973e-06    2.1112614e-06    1.7640934e-08
15_5    2.5417236e-07    0.0022067146    6.809933e-07    1.1676019e-05    2.1658434e-06    1.9736358e-08
16_5    2.7409874e-07    0.0024948434    9.1527215e-07    1.131358e-05    2.2350603e-06    2.2678854e-08
17_5    2.9376912e-07    0.0027620408    8.282962e-07    1.2495233e-05    2.2994918e-06    3.2584158e-08
18_5    3.1642864e-07    0.0030525    7.8943344e-07    1.5727488e-05    2.3537484e-06    5.1450062e-08
19_5    3.4304492e-07    0.003277582    9.828084e-07    1.7574766e-05    2.397275e-06    6.405772e-08
20_5    3.863232e-07    0.0032930193    7.64015e-07    2.5211375e-05    2.4977621e-06    7.453151e-08
21_5    4.7570532e-07    0.0031152065    1.967334e-06    4.2375228e-05    2.7051876e-06    9.50072e-08
22_5    6.028388e-07    0.0029296344    1.7217917e-06    5.442441e-05    2.8723796e-06    1.1123645e-07
23_5    6.9103294e-07    0.0028943087    1.7830596e-06    6.1712344e-05    2.8915656e-06    1.2121531e-07
24_5    7.11329e-07    0.0028628868    2.2914298e-06    6.558409e-05    2.8730142e-06    1.3600643e-07
25_5    6.90493e-07    0.002729091    2.7283077e-06    7.115939e-05    2.9574362e-06    1.5517455e-07
26_5    6.8516863e-07    0.0026859136    2.3540244e-06    8.106561e-05    3.1163777e-06    1.6127404e-07
27_5    6.9846175e-07    0.0028630216    3.0048645e-06    0.00011555388    3.0771364e-06    1.5627177e-07
28_5    6.5835707e-07    0.0030490605    3.958638e-06    0.0001165818    2.68422e-06    1.252154e-07
