X_Y    13CO J=2-1    C+ 158um    CH+ J=1-0    CO J=10-9    CO J=2-1    HCO+ J=3-2
34_2    1.3333596e-09    6.1910696e-06    8.353936e-08    8.6146287e-07    1.4080361e-09    8.0739655e-09
35_2    1.5654984e-09    5.8128876e-06    9.973748e-08    8.7787527e-07    1.9071045e-09    9.371166e-09
36_2    1.3630823e-09    5.8224186e-06    1.0461475e-07    8.481664e-07    1.6654516e-09    1.2015062e-08
37_2    1.5563889e-09    6.192768e-06    1.2995048e-07    8.38494e-07    1.3083454e-09    1.4493265e-08
38_2    1.6538066e-09    7.812205e-06    1.0276265e-07    1.0447887e-06    1.4174137e-09    2.0969182e-08
39_2    1.782399e-09    1.2579065e-05    1.8950907e-07    1.5852238e-06    2.0492368e-09    3.669414e-08
40_2    2.0402346e-09    1.5735774e-05    2.0624296e-07    1.8211338e-06    2.4039177e-09    4.8813213e-08
0_3    2.5055804e-09    1.5121113e-05    1.2842054e-07    1.622849e-06    1.948343e-09    nan
1_3    2.1185704e-09    1.1994994e-05    1.2784271e-07    1.3570935e-06    1.695599e-09    nan
2_3    1.9036097e-09    7.546703e-06    1.0911902e-07    7.67595e-07    1.5473715e-09    nan
3_3    1.7349197e-09    6.462401e-06    1.1647329e-07    6.1010974e-07    2.036533e-09    nan
4_3    1.4929861e-09    6.2686463e-06    9.7356974e-08    6.812567e-07    2.29965e-09    nan
5_3    1.88033e-09    6.1658316e-06    9.6396526e-08    6.8006347e-07    1.9063788e-09    3.271059e-08
6_3    2.3105116e-09    6.0330776e-06    1.15351014e-07    6.2458537e-07    1.359622e-09    2.8058555e-08
7_3    2.2645785e-09    5.9249915e-06    7.9049194e-08    6.782819e-07    1.370204e-09    2.0669408e-08
8_3    2.2429627e-09    5.797379e-06    9.720489e-08    5.861397e-07    1.5828486e-09    1.1795351e-08
9_3    2.4531066e-09    5.802191e-06    1.0211152e-07    6.8945053e-07    1.2487642e-09    8.48137e-09
10_3    1.3840272e-09    5.848297e-06    8.441074e-08    6.6154195e-07    1.5323799e-09    7.252974e-09
11_3    1.3465387e-09    6.037598e-06    8.959189e-08    6.169466e-07    1.5600674e-09    7.874905e-09
12_3    1.2178507e-09    6.0413627e-06    9.440623e-08    7.639756e-07    1.60615e-09    7.3741377e-09
13_3    1.3558025e-09    5.7962234e-06    1.2215098e-07    6.477836e-07    1.4716388e-09    6.543682e-09
14_3    1.4824888e-09    5.8893825e-06    1.109483e-07    6.311386e-07    1.222602e-09    6.783826e-09
15_3    9.731007e-10    6.2029226e-06    1.0762231e-07    7.910784e-07    1.1649903e-09    7.9483575e-09
16_3    1.2819481e-09    6.121792e-06    8.1947555e-08    8.023664e-07    1.168915e-09    8.336684e-09
17_3    1.4782408e-09    5.802939e-06    8.480001e-08    7.6227275e-07    1.4773359e-09    8.123759e-09
18_3    1.483778e-09    6.006413e-06    1.0783038e-07    7.6173654e-07    1.592733e-09    7.2394535e-09
19_3    1.6898355e-09    5.9237e-06    8.758103e-08    6.307015e-07    1.5067537e-09    7.064259e-09
20_3    1.4508934e-09    5.8131745e-06    1.16686955e-07    6.9611065e-07    1.1352435e-09    7.3064905e-09
21_3    1.5160473e-09    5.4598277e-06    1.0206039e-07    6.3790014e-07    9.523655e-10    7.410078e-09
22_3    1.420814e-09    5.461662e-06    9.9720964e-08    6.39903e-07    1.1291756e-09    7.4072095e-09
23_3    1.1758794e-09    5.548607e-06    1.1379594e-07    6.8749887e-07    1.2341579e-09    7.585981e-09
24_3    1.2728687e-09    5.759325e-06    1.2285984e-07    6.616671e-07    1.2969467e-09    7.6826e-09
25_3    1.5650944e-09    5.8775245e-06    8.48564e-08    7.3416425e-07    1.0699746e-09    6.711096e-09
26_3    1.3474896e-09    5.7075017e-06    7.747495e-08    7.664464e-07    1.2004104e-09    6.9581954e-09
