X_Y  COJ4-3  COJ5-4  COJ6-5  COJ7-6  COJ8-7  COJ9-8  COJ10-9  COJ11-10  COJ12-11  COJ13-12  13COJ5-4  13COJ6-5  13COJ7-6  13COJ8-7  13COJ9-8  13COJ10-9  13COJ11-10  13COJ12-11  13COJ13-12  CI609  CI370
6_13  3.1324e-09  2.0923e-09  1.5651e-09  1.2746e-09  2.6847e-09  3.7962e-09  5.0169e-09  6.8342e-09  3.4362e-09  5.0070e-09  1.2801e-09  1.2658e-09  1.0694e-09  3.2195e-09  2.4440e-09  3.2613e-09  2.3378e-09  8.3446e-09  4.5050e-09  2.4944e-09  1.0709e-09
7_6  5.7032e-09  4.0809e-09  1.4582e-09  1.1239e-09  2.9238e-09  3.8839e-09  7.8997e-09  1.4672e-08  4.3357e-09  1.3517e-08  inf  1.8185e-09  3.0320e-09  2.8038e-09  6.6053e-09  inf  inf  1.6266e-08  inf  2.8424e-09  1.0927e-09
7_7  4.0586e-09  3.7854e-09  1.7035e-09  1.4588e-09  3.7767e-09  5.5287e-09  1.1302e-08  9.5027e-09  5.2007e-09  1.0457e-08  inf  2.0687e-09  3.9305e-09  2.5496e-09  4.5892e-09  inf  2.4016e-09  3.2450e-09  inf  2.7656e-09  1.1503e-09
7_8  1.5918e-09  2.6580e-09  1.1635e-09  9.2995e-10  2.2767e-09  4.3956e-09  5.8263e-09  1.3309e-08  1.0915e-08  4.4870e-09  1.3112e-09  1.6349e-09  1.3938e-09  3.5594e-09  1.7355e-09  1.7853e-08  2.6407e-09  2.2510e-09  inf  2.0060e-09  9.5144e-10
7_9  2.1809e-09  2.5922e-09  1.7229e-09  8.0025e-10  2.3151e-09  7.1076e-09  5.5336e-09  inf  2.3631e-09  8.7255e-09  1.3247e-09  2.4172e-09  1.3887e-09  2.6819e-09  inf  4.0510e-09  inf  4.5727e-09  inf  2.2868e-09  9.3997e-10
7_10  1.5878e-09  2.3936e-09  2.5542e-09  1.5987e-09  3.0248e-09  5.5558e-09  4.0689e-09  8.2710e-09  3.8920e-09  7.9338e-09  5.1707e-09  2.1339e-09  1.5327e-09  4.1441e-09  inf  2.5971e-09  inf  3.2828e-09  1.0196e-08  2.1484e-09  1.9231e-09
7_11  1.4988e-09  2.1619e-09  1.3967e-09  1.2374e-09  1.1059e-09  3.5392e-09  2.6756e-09  3.3334e-09  4.1013e-09  6.3609e-09  1.2409e-09  1.1943e-09  1.7689e-09  2.1887e-09  inf  inf  1.7660e-09  2.3238e-09  3.7315e-09  2.4954e-09  1.0635e-09
7_12  2.3202e-09  1.5156e-09  1.6175e-09  1.6542e-09  2.1930e-09  3.8526e-09  3.2318e-09  3.3537e-09  4.1464e-09  6.1178e-09  9.5012e-10  2.2430e-09  9.3653e-10  3.4188e-09  2.7213e-09  7.8882e+06  4.5977e-09  1.9798e-09  4.0997e-09  1.2991e-09  1.7456e-09
7_13  3.7856e-09  2.0041e-09  2.2510e-09  9.9194e-10  3.0176e-09  2.8781e-09  3.2084e-09  4.2055e-09  3.1450e-09  8.0133e-09  3.4283e-09  1.8794e-09  1.9135e-09  3.1147e-09  3.5950e-09  3.6333e-09  4.3349e-09  3.9051e-09  9.7252e-09  3.0453e-09  9.5490e-10
8_6  3.1029e-09  3.0269e-09  1.9767e-09  1.2803e-09  3.5820e-09  6.2066e-09  inf  inf  8.8638e-09  7.9900e-09  8.7231e-10  inf  8.3107e-10  2.2632e-09  4.4701e-09  inf  1.1397e-08  2.4988e-08  1.5596e+07  5.2313e-09  1.7278e-09
