#=========================================================================================
# Carina intensities
# Date: 30 october 2017
# Unit: W m-2 sr-1
#=========================================================================================
#X_Y    COJ4-3      COJ5-4      COJ6-5       COJ7-6      COJ8-7     COJ9-8      COJ10-9     COJ11-10    COJ12-11    COJ13-12    13COJ5-4    13COJ6-5    13COJ7-6    13COJ8-7    13COJ9-8    13COJ10-9   13COJ11-10  13COJ12-11  13COJ13-12  CI609       CI370       OI145
6_12    3.2860e-09  4.5453e-09  5.4130e-09  4.9695e-09  4.5727e-09  4.0759e-09  2.8847e-09  2.1691e-09  1.8953e-09  1.2616e-09  6.3056e-10  5.5424e-10  5.6827e-10  9.4538e-10  2.7274e-10  5.8543e-10  5.7763e-10  9.5311e-10  7.1478e-10  1.2264e-09  1.9261e-09  0.
6_13    3.8429e-09  5.0231e-09  5.7802e-09  5.2537e-09  5.0387e-09  4.1766e-09  3.3734e-09  2.7593e-09  2.4081e-09  1.4329e-09  7.5202e-10  6.4889e-10  7.2814e-10  1.0167e-09  4.8199e-10  6.4764e-10  5.5021e-10  9.1915e-10  1.0170e-09  1.1490e-09  2.0467e-09  0.
7_6     1.6818e-09  1.3530e-09  1.4786e-09  1.3461e-09  1.8197e-09  1.9036e-09  1.1998e-09  1.1873e-09  1.3294e-09  1.4477e-09  4.4742e-10  3.5237e-10  2.3972e-10  9.1199e-10  9.2477e-10  5.0221e-10  8.8125e-10  4.6360e-10  3.5396e-10  7.9524e-10  5.8083e-10  0.
7_7     1.5138e-09  1.7102e-09  1.6919e-09  1.8771e-09  2.2745e-09  2.3920e-09  1.7203e-09  1.5078e-09  1.5077e-09  1.6276e-09  2.9784e-10  3.9571e-10  3.4832e-10  8.0938e-10  6.9638e-10  4.8914e-10  6.8316e-10  6.2887e-10  1.8458e-10  8.2563e-10  6.8091e-10  1.0528e-08
7_8     1.3390e-09  1.7407e-09  1.6189e-09  1.9442e-09  2.3045e-09  2.3582e-09  1.7929e-09  1.3690e-09  1.5096e-09  1.6153e-09  2.3754e-10  4.0232e-10  3.6949e-10  7.4506e-10  4.5386e-10  5.2896e-10  5.6294e-10  8.3293e-10  1.4533e-10  7.1775e-10  6.7533e-10  1.1984e-08
7_9     1.5886e-09  1.8011e-09  1.7779e-09  1.9124e-09  2.1040e-09  2.0441e-09  1.5159e-09  9.4144e-10  1.3377e-09  1.3455e-09  2.6252e-10  3.9119e-10  2.9174e-10  6.7955e-10  2.3418e-10  5.0444e-10  3.9337e-10  9.5474e-10  2.2018e-10  6.8652e-10  6.9197e-10  1.2362e-08
7_10    2.2476e-09  2.4758e-09  2.7638e-09  2.6130e-09  2.5031e-09  2.2418e-09  1.5735e-09  8.7676e-10  1.2403e-09  1.1487e-09  4.1415e-10  4.0929e-10  2.2663e-10  6.8897e-10  1.3346e-10  4.4723e-10  3.1047e-10  1.0263e-09  3.7287e-10  7.7505e-10  1.0273e-09  0.
7_11    3.2164e-09  3.7242e-09  4.3247e-09  4.0073e-09  3.6268e-09  3.0424e-09  2.1354e-09  1.2774e-09  1.4229e-09  1.2619e-09  6.0181e-10  4.7012e-10  2.8321e-10  7.5177e-10  1.7038e-10  4.2096e-10  4.1074e-10  1.0586e-09  5.5011e-10  9.8863e-10  1.5729e-09  0.
7_12    3.5291e-09  4.9883e-09  5.7551e-09  5.2694e-09  5.0268e-09  3.9944e-09  3.0021e-09  1.9532e-09  1.8813e-09  1.5554e-09  7.0548e-10  5.7062e-10  4.7700e-10  8.1613e-10  3.7534e-10  4.5513e-10  5.4796e-10  1.0341e-09  7.4872e-10  1.2400e-09  2.0576e-09  0.
7_13    4.6323e-09  5.8434e-09  6.5896e-09  6.0063e-09  6.0833e-09  4.6416e-09  3.8693e-09  2.7046e-09  2.4086e-09  1.7258e-09  7.9108e-10  6.7417e-10  7.2442e-10  8.9669e-10  5.4777e-10  5.3520e-10  5.7520e-10  9.7687e-10  9.8468e-10  1.2702e-09  2.3331e-09  0.
8_6     7.1836e-10  9.6177e-10  1.0178e-09  7.6363e-10  9.3452e-10  1.3509e-09  5.3632e-10  9.5426e-10  1.0644e-09  1.0051e-09  5.1907e-10  2.0757e-10  1.6029e-10  8.6576e-10  1.0939e-09  6.3630e-10  9.2981e-10  5.7552e-10  3.9233e-10  5.6779e-10  5.1548e-10  0.
8_7     8.2986e-10  1.0947e-09  1.0187e-09  9.4065e-10  1.1276e-09  1.2216e-09  7.5853e-10  8.4444e-10  9.6927e-10  1.2056e-09  2.5658e-10  2.8239e-10  1.9104e-10  7.7313e-10  9.2323e-10  5.0575e-10  7.0969e-10  5.3253e-10  1.5027e-10  7.0654e-10  5.5290e-10  0.
8_8     9.2523e-10  1.1964e-09  1.0483e-09  1.1274e-09  1.2919e-09  1.3447e-09  9.3922e-10  8.2744e-10  1.0172e-09  1.3162e-09  9.1130e-11  3.6022e-10  1.8335e-10  7.2258e-10  6.5287e-10  5.8487e-10  6.7631e-10  7.1908e-10  1.2244e-10  6.7035e-10  5.5697e-10  0.
8_9     1.4857e-09  1.5168e-09  1.4316e-09  1.5227e-09  1.5283e-09  1.5639e-09  1.0456e-09  7.7249e-10  1.0202e-09  1.2278e-09  1.7184e-10  4.1192e-10  1.3442e-10  6.9460e-10  4.0092e-10  6.1996e-10  5.2347e-10  9.1246e-10  2.3156e-10  6.1892e-10  6.7285e-10  0.
8_10    1.6425e-09  2.3726e-09  2.5486e-09  2.4297e-09  2.1922e-09  2.1483e-09  1.3967e-09  8.8660e-10  1.0781e-09  1.2156e-09  4.4701e-10  4.7209e-10  1.2117e-10  7.0677e-10  3.6670e-10  5.5304e-10  3.9160e-10  1.0231e-09  4.4219e-10  7.0418e-10  1.0307e-09  0.
8_11    2.9036e-09  3.7400e-09  4.2622e-09  4.0550e-09  3.5972e-09  3.1792e-09  2.2103e-09  1.3349e-09  1.3784e-09  1.4739e-09  6.9315e-10  5.7215e-10  2.3571e-10  7.3100e-10  4.4997e-10  4.3651e-10  4.4211e-10  1.0489e-09  6.5353e-10  8.9229e-10  1.6312e-09  0.
8_12    3.9545e-09  5.0188e-09  5.8277e-09  5.6371e-09  5.2270e-09  4.2342e-09  3.1912e-09  1.9311e-09  1.8561e-09  1.7953e-09  7.8260e-10  6.5623e-10  4.4701e-10  7.6633e-10  5.8675e-10  3.9624e-10  5.8569e-10  1.0084e-09  8.0309e-10  1.1506e-09  2.2000e-09  0.
8_13    4.2567e-09  5.8457e-09  6.6966e-09  6.4247e-09  6.3452e-09  4.7621e-09  3.8444e-09  2.4099e-09  2.2220e-09  1.8498e-09  8.4905e-10  6.7883e-10  6.5236e-10  8.2834e-10  6.7809e-10  4.2958e-10  6.3769e-10  9.7955e-10  8.8802e-10  1.2759e-09  2.4860e-09  0.
8_14    3.7285e-09  5.8465e-09  6.8637e-09  6.2334e-09  6.5230e-09  4.4887e-09  3.9133e-09  2.6353e-09  2.2899e-09  1.6563e-09  9.0259e-10  7.2451e-10  7.2226e-10  8.5672e-10  7.9450e-10  5.2018e-10  6.0133e-10  1.0079e-09  1.0036e-09  1.2404e-09  2.4905e-09  0.
8_15    3.7676e-09  5.0927e-09  5.9545e-09  5.5347e-09  5.8320e-09  3.4800e-09  3.3225e-09  2.4438e-09  1.9780e-09  1.4203e-09  9.5443e-10  7.8011e-10  5.7477e-10  8.5992e-10  8.0711e-10  5.5551e-10  6.0971e-10  9.5886e-10  1.2079e-09  1.1990e-09  2.3685e-09  0.
9_7     1.0882e-09  9.7218e-10  8.7448e-10  7.5333e-10  1.0252e-09  1.1342e-09  7.9397e-10  9.7058e-10  9.8741e-10  8.8926e-10  2.9791e-10  2.5337e-10  1.2327e-10  7.5556e-10  1.0675e-09  6.8696e-10  8.2278e-10  4.8453e-10  2.7902e-10  7.1127e-10  5.3362e-10  0.
9_8     8.3533e-10  1.1761e-09  1.0249e-09  1.0220e-09  1.3428e-09  1.1586e-09  9.3085e-10  8.7380e-10  8.9908e-10  1.0523e-09  8.2557e-11  3.6508e-10  8.6439e-11  7.5186e-10  7.6120e-10  7.2613e-10  7.4911e-10  5.1890e-10  1.5476e-10  6.4771e-10  5.5895e-10  0.
9_9     9.8363e-10  1.5530e-09  1.4906e-09  1.4870e-09  1.6483e-09  1.5262e-09  9.8282e-10  8.9471e-10  8.4599e-10  1.0411e-09  1.3899e-10  4.3983e-10  6.8912e-11  7.5920e-10  5.3098e-10  7.3265e-10  6.6006e-10  7.3564e-10  2.3881e-10  5.2618e-10  6.8873e-10  0.
9_10    1.4960e-09  2.4004e-09  2.7311e-09  2.5417e-09  2.5182e-09  2.4076e-09  1.4341e-09  1.1224e-09  9.2656e-10  1.1774e-09  4.2344e-10  5.5520e-10  1.4563e-10  7.4417e-10  5.0146e-10  6.3836e-10  5.6792e-10  8.6192e-10  4.2077e-10  6.0790e-10  1.0626e-09  2.1117e-08
9_11    2.2017e-09  3.8607e-09  4.6911e-09  4.5737e-09  4.3413e-09  3.8400e-09  2.5910e-09  1.7134e-09  1.3450e-09  1.5372e-09  7.1938e-10  7.2236e-10  3.4752e-10  7.7855e-10  5.9009e-10  4.8739e-10  5.8664e-10  8.6772e-10  5.9989e-10  8.6088e-10  1.7359e-09  2.6354e-08
9_12    3.4073e-09  5.0825e-09  6.3497e-09  6.3892e-09  6.0640e-09  4.9730e-09  3.6878e-09  2.2671e-09  1.8691e-09  1.8368e-09  8.6641e-10  8.0070e-10  5.4031e-10  8.3792e-10  6.5896e-10  3.8219e-10  6.9085e-10  8.4264e-10  7.1677e-10  1.0130e-09  2.3395e-09  0.
9_13    3.7124e-09  5.5923e-09  6.8740e-09  6.7074e-09  6.5430e-09  5.0109e-09  3.9051e-09  2.3301e-09  2.0935e-09  1.8322e-09  8.9284e-10  7.1826e-10  5.9836e-10  8.7319e-10  7.1890e-10  3.7305e-10  7.3457e-10  8.8439e-10  7.4841e-10  1.1077e-09  2.5200e-09  0.
9_14    3.3062e-09  5.3369e-09  6.4851e-09  5.7744e-09  5.8582e-09  4.1934e-09  3.4433e-09  2.0655e-09  1.9847e-09  1.6153e-09  8.6495e-10  6.5778e-10  5.2975e-10  8.7573e-10  8.2916e-10  4.1042e-10  6.9640e-10  1.0169e-09  8.0965e-10  1.0970e-09  2.3456e-09  0.
9_15    3.0847e-09  4.6748e-09  5.3944e-09  4.7809e-09  4.7921e-09  3.1637e-09  2.8157e-09  1.7658e-09  1.6700e-09  1.3853e-09  9.0458e-10  6.8766e-10  3.8174e-10  8.9987e-10  8.3924e-10  4.3106e-10  6.8023e-10  1.0484e-09  1.0180e-09  9.4678e-10  2.1076e-09  0.
