X_Y    13CO J=1-0    C18O J=1-0    C2H N=1-0 J=3/2-1/2 F=2-1    C3H2 J=2-1 K+=1-0 K-=2-1    CN N=1-0 J=3/2-1/2    CO J=1-0    CS J=2-1    HCN J=1-0 F=2-1    HCO+ J=1-0    HNC J=1-0    SO J=3-2 K=2-1
10_0    6.500247789771843e-10    4.1836157909687884e-11    1.0953471389060805e-10    5.873364546777606e-11    1.7433835236940084e-10    4.358312088121784e-09    9.591731722004118e-11    -8.785185960523649e-11    9.109703180859801e-11    1.0934241767050068e-10    3.063408835456004e-11
11_0    6.501781882471999e-10    1.706603792103815e-10    1.142025116654645e-11    3.391145706789476e-11    3.9113199049941805e-11    4.158727444691284e-09    8.595765212168519e-11    -1.0154606772141007e-10    1.6688515346196682e-10    1.1775420446839273e-10    4.948261156102113e-11
12_0    6.737410228822994e-10    2.2310099507046462e-10    1.9930662571936273e-11    -9.496319246887344e-12    -1.364495516160877e-10    3.79683773002809e-09    5.243310400301061e-11    -1.2145884308456216e-11    1.498433869418561e-10    1.1355652960949287e-10    5.7006939402180845e-11
13_0    6.431918471667597e-10    1.4426936225098329e-10    1.2033520221919762e-10    -4.485793695467938e-12    -2.550102636981472e-10    3.468735781395822e-09    2.2599693518511522e-11    3.290805443171671e-11    1.503029995269597e-10    8.521145136077662e-11    3.0487957617775627e-11
14_0    5.457023291700671e-10    4.551868111137571e-11    2.0813083104504456e-10    5.5062373904503e-11    -3.0021673923401775e-10    3.485495105406792e-09    4.066975883241398e-11    1.083171201703162e-10    2.0189222222419124e-10    2.4637701507806336e-11    7.58845014089004e-11
15_0    5.321815824262594e-10    -3.327222113268034e-11    1.7430960355264136e-10    5.6276205093928696e-11    -2.2035126015279023e-10    3.828815677448437e-09    7.364605720235422e-11    7.719885213881326e-11    1.6935833255414188e-10    -4.3747215351624894e-11    9.757039642125875e-11
16_0    5.533562078848997e-10    -7.923008673058477e-11    2.392388923872711e-10    -3.267943308463948e-11    -5.845665014281023e-11    4.499229005588572e-09    1.2033968748781842e-10    1.4366187787640338e-10    1.8079961465506695e-10    4.168739601619013e-11    5.40192215497842e-11
17_0    5.201285892388171e-10    -6.766559820505014e-11    1.0370694374150284e-10    -5.1360590224597355e-11    5.950427259708907e-11    4.995771916058872e-09    1.4825976795033e-10    1.481274453277582e-10    1.7415220496875665e-10    7.572014822177823e-11    5.842047325992235e-11
18_0    5.136232069508581e-10    -1.4149215970497476e-11    9.314107116713451e-11    2.897061504791284e-11    1.4865766605029384e-10    4.8434040273088175e-09    1.0764246971151251e-10    4.617418812464969e-11    2.1364440287330474e-10    4.050792445831319e-11    3.5368349532178945e-11
19_0    5.982595158381253e-10    2.2646666072914923e-11    1.193058744018881e-10    1.239481725064203e-10    2.13211758086583e-10    4.269987557565374e-09    4.9014243210341393e-11    1.7581439949480936e-11    2.7127648036764823e-10    4.6668275529152916e-11    1.2482027986556313e-11
20_0    6.556055594485629e-10    5.6487185481791264e-11    1.5368471361877233e-10    4.3599810876387006e-11    2.0301533926985784e-10    3.6947478133109247e-09    -6.903535094843144e-12    3.7226955715776144e-11    2.199237992001463e-10    -4.089071737906418e-11    4.3517948314387343e-11
21_0    6.326148999286568e-10    9.16640271520478e-11    4.133429224069395e-11    6.154830841357457e-11    1.7208208599109836e-10    3.4550578585879934e-09    2.5210347940012804e-11    -4.768261968067635e-11    1.6252772441655938e-10    -2.6564247220880775e-11    5.146755406900937e-11
22_0    5.786687374374841e-10    6.356472194098829e-11    9.643066089500507e-11    5.472602692011067e-12    1.6639114358577886e-10    3.322920916165112e-09    1.3454394900859785e-11    -1.9473691573459162e-10    1.526657207293971e-10    4.9391055633946793e-11    6.523288212700416e-11
23_0    5.603176717864283e-10    5.7937915116436194e-12    8.377738249525773e-11    1.6917895994602703e-11    1.5577134405694324e-10    3.120517261590232e-09    -9.454771512942021e-13    -1.8849005116943272e-11    4.092813592769928e-11    -3.01879635872049e-12    7.842211785729119e-11
24_0    5.490814793068973e-10    3.184458837042927e-11    1.031905051297148e-10    -7.073726005224802e-11    1.5231902716692147e-10    2.9356197335013415e-09    4.0880434578556846e-11    9.642523654085052e-11    4.411902189368205e-11    -8.578260433446163e-11    6.370225633273669e-11
25_0    4.992898056956164e-10    1.2558600771177478e-10    9.373737141992071e-11    -2.0297833459691734e-11    1.481593116704108e-10    2.7656380710616944e-09    5.096699793336148e-11    4.401056405509534e-11    1.23356123801739e-10    -6.883508626988639e-11    2.5511550315421917e-11
26_0    4.683467413138105e-10    1.5147867410126337e-10    6.364408532931067e-11    2.324031605653238e-11    1.5334484335064537e-10    2.6596392152636887e-09    9.125781036675292e-11    -3.449280009105089e-11    3.26098486019914e-11    -7.846099576746737e-11    2.7776962632574714e-13
27_0    4.750843106050364e-10    1.394595604764951e-10    5.493952140113866e-11    -1.2970163455315598e-12    2.1998937765299272e-10    2.596786704259904e-09    6.678862326649951e-11    1.7950490183444602e-11    -9.905662567521495e-12    -1.2404679404994723e-10    -1.3302553171958016e-11
