X_Y   CO J=1-0   C2H N=1-0 J=3/2-1/2 F=2-1   C3H2 J=2-1 K+=1-0 K-=2-1   CS J=2-1   HCN J=1-0 F=2-1   HCO+ J=1-0   HNC J=1-0   SO J=3-2 K=2-1
40_1   1.1133E-10   4.1442E-11   5.1638E-11   3.3200E-11   3.3139E-11   3.4627E-11   4.4183E-11   2.9805E-11
41_1   1.0081E-10   5.1258E-11   5.0855E-11   3.7264E-11   3.9369E-11   3.7597E-11   4.6064E-11   2.9683E-11
42_1   9.1897E-11   4.5940E-11   4.8687E-11   3.6209E-11   2.0318E-11   3.7178E-11   4.7131E-11   3.3247E-11
43_1   9.9895E-11   5.2108E-11   4.5689E-11   2.9060E-11   4.0667E-11   5.1134E-11   4.2832E-11   3.4925E-11
44_1   1.2293E-10   4.6769E-11   5.3994E-11   2.9644E-11   5.5955E-11   4.8680E-11   3.8923E-11   3.1352E-11
0_2   2.1353E-10   3.1731E-11   3.4877E-11   3.3461E-11   2.3978E-11   2.8824E-11   3.9203E-11   4.0183E-11
1_2   2.1428E-10   3.3868E-11   3.4168E-11   3.8843E-11   2.4125E-11   2.9727E-11   2.8480E-11   4.4546E-11
2_2   1.5918E-10   5.2115E-11   2.8411E-11   4.2017E-11   3.1715E-11   4.0117E-11   3.6186E-11   4.0055E-11
3_2   1.8616E-10   4.8862E-11   2.8915E-11   3.5179E-11   4.2779E-11   2.9708E-11   3.4869E-11   3.6257E-11
4_2   2.1959E-10   4.0516E-11   3.6174E-11   3.5814E-11   3.0629E-11   3.0464E-11   3.5483E-11   3.8501E-11
5_2   1.8886E-10   3.8381E-11   3.5122E-11   4.0599E-11   3.1919E-11   3.4837E-11   3.2547E-11   3.6695E-11
6_2   1.7855E-10   4.2206E-11   3.9563E-11   3.9990E-11   4.2006E-11   2.9637E-11   3.4697E-11   3.3583E-11
7_2   1.7156E-10   4.9125E-11   3.3213E-11   3.6641E-11   2.7987E-11   2.2953E-11   3.4510E-11   3.5586E-11
8_2   1.5167E-10   4.3508E-11   2.8994E-11   3.1572E-11   2.9653E-11   1.9113E-11   2.5693E-11   3.9377E-11
9_2   1.5299E-10   2.9788E-11   3.4485E-11   3.2353E-11   2.0051E-11   3.4341E-11   2.5040E-11   3.5535E-11
10_2   1.8834E-10   3.7806E-11   3.5093E-11   3.1234E-11   2.3747E-11   3.6750E-11   2.6262E-11   3.2610E-11
11_2   2.0033E-10   3.5453E-11   3.5995E-11   3.1469E-11   2.6305E-11   2.9556E-11   3.0345E-11   3.5682E-11
12_2   1.7202E-10   3.2375E-11   3.9636E-11   3.2935E-11   1.5327E-11   2.7018E-11   3.4227E-11   3.9169E-11
13_2   1.3955E-10   3.6908E-11   4.1091E-11   3.7039E-11   2.3349E-11   2.8813E-11   3.0676E-11   4.0632E-11
14_2   1.5073E-10   3.2024E-11   3.6069E-11   3.5656E-11   2.6942E-11   2.7704E-11   3.0356E-11   3.5471E-11
15_2   1.8631E-10   3.3365E-11   2.6442E-11   3.3337E-11   2.9444E-11   3.6694E-11   3.4407E-11   3.6010E-11
16_2   2.1219E-10   4.2256E-11   3.3507E-11   3.4587E-11   2.9484E-11   3.3485E-11   3.2544E-11   3.5975E-11
17_2   2.0575E-10   4.4956E-11   4.0635E-11   3.8498E-11   2.6731E-11   3.4032E-11   3.6779E-11   3.2161E-11
18_2   1.9494E-10   4.4924E-11   3.4281E-11   3.8542E-11   2.6388E-11   3.1190E-11   3.7224E-11   2.8361E-11
19_2   1.7063E-10   4.9049E-11   3.0800E-11   3.7753E-11   3.4999E-11   3.8409E-11   3.2878E-11   2.4102E-11
20_2   1.4802E-10   5.7196E-11   5.1982E-11   3.7040E-11   3.7692E-11   4.5869E-11   4.3715E-11   2.9752E-11
21_2   1.5033E-10   5.4479E-11   3.5916E-11   3.9342E-11   4.2588E-11   4.6654E-11   4.5497E-11   3.2165E-11
22_2   1.6799E-10   4.4430E-11   4.5110E-11   3.9649E-11   3.4388E-11   4.2590E-11   4.4438E-11   2.5920E-11
23_2   1.9254E-10   3.7933E-11   4.3897E-11   3.9513E-11   2.6099E-11   3.7409E-11   4.1001E-11   2.8867E-11
24_2   1.8357E-10   4.7769E-11   4.4889E-11   3.8251E-11   4.4913E-11   3.8202E-11   4.0963E-11   3.4420E-11
25_2   1.5885E-10   4.2049E-11   5.0073E-11   3.7532E-11   3.6941E-11   3.9288E-11   4.3763E-11   3.2404E-11
26_2   1.5784E-10   4.4018E-11   4.0327E-11   3.0203E-11   2.8974E-11   4.8519E-11   3.9454E-11   3.2339E-11
27_2   1.4142E-10   4.6205E-11   3.6113E-11   2.8872E-11   2.5887E-11   4.2414E-11   3.8200E-11   3.1086E-11
28_2   1.6216E-10   5.4174E-11   4.1002E-11   3.7112E-11   3.6084E-11   4.3325E-11   3.9958E-11   3.3509E-11
29_2   1.9587E-10   5.1523E-11   4.0092E-11   3.5435E-11   4.3622E-11   4.5395E-11   3.9873E-11   3.4846E-11
30_2   1.9829E-10   5.0970E-11   4.6521E-11   2.7921E-11   4.2268E-11   3.3615E-11   4.2652E-11   4.1262E-11
31_2   1.9597E-10   6.0187E-11   4.5547E-11   2.9786E-11   3.9470E-11   4.2378E-11   4.6915E-11   3.9353E-11
32_2   2.0423E-10   4.6196E-11   4.5215E-11   3.3079E-11   5.0093E-11   3.7810E-11   4.8111E-11   3.5520E-11
33_2   1.8645E-10   5.5821E-11   4.7197E-11   2.8101E-11   3.4181E-11   4.0957E-11   4.4405E-11   3.6050E-11
34_2   1.4532E-10   5.8164E-11   5.9171E-11   2.8238E-11   3.7980E-11   4.2655E-11   4.0416E-11   3.6582E-11
35_2   1.1146E-10   6.3160E-11   5.2020E-11   3.1592E-11   5.1752E-11   3.6380E-11   3.9534E-11   3.4789E-11
36_2   1.3952E-10   4.8508E-11   5.2377E-11   3.0739E-11   4.7584E-11   4.3088E-11   4.3880E-11   3.5514E-11
37_2   1.2467E-10   5.3664E-11   5.2174E-11   2.7992E-11   4.2380E-11   3.6204E-11   4.7714E-11   3.6335E-11
38_2   1.2730E-10   4.6895E-11   4.7649E-11   2.4492E-11   5.1853E-11   3.2262E-11   4.6667E-11   3.3751E-11
39_2   1.5156E-10   4.9712E-11   4.5265E-11   2.5752E-11   4.6081E-11   3.4276E-11   3.7571E-11   2.9548E-11
40_2   1.3065E-10   5.1804E-11   4.6510E-11   2.8541E-11   3.9501E-11   3.2035E-11   4.2137E-11   3.3497E-11
41_2   1.0844E-10   4.9639E-11   4.9604E-11   3.2003E-11   4.3322E-11   4.4454E-11   4.6487E-11   2.5481E-11
42_2   9.8873E-11   5.1493E-11   4.9187E-11   3.4140E-11   2.4608E-11   3.9203E-11   4.4800E-11   2.9992E-11
43_2   9.0677E-11   5.8490E-11   4.8853E-11   3.1135E-11   5.0200E-11   4.5434E-11   3.6908E-11   3.8186E-11
44_2   1.2576E-10   5.8470E-11   5.5634E-11   2.8275E-11   6.6082E-11   4.0717E-11   4.1798E-11   3.8271E-11
0_3   1.9820E-10   2.7087E-11   3.2038E-11   4.0092E-11   3.0085E-11   3.5796E-11   3.7511E-11   4.0842E-11
1_3   2.0582E-10   3.4086E-11   3.0764E-11   4.2699E-11   3.9387E-11   3.3646E-11   3.0608E-11   4.0831E-11
2_3   1.6977E-10   4.2029E-11   3.5395E-11   3.2697E-11   3.3762E-11   4.0688E-11   4.2086E-11   3.8686E-11
3_3   1.6403E-10   4.1561E-11   3.0855E-11   2.8909E-11   2.7007E-11   3.8898E-11   4.0180E-11   3.6541E-11
4_3   1.8231E-10   3.4517E-11   3.3369E-11   3.5281E-11   3.8963E-11   2.7545E-11   3.7542E-11   3.5994E-11
5_3   1.6201E-10   3.4253E-11   4.3200E-11   4.0315E-11   2.6106E-11   3.2178E-11   3.5137E-11   3.1126E-11
