X_Y    13CO J=1-0    C18O J=1-0    C2H N=1-0 J=3/2-1/2 F=2-1    C3H2 J=2-1 K+=1-0 K-=2-1    CN N=1-0 J=3/2-1/2    CO J=1-0    CS J=2-1    HCN J=1-0 F=2-1    HCO+ J=1-0    HNC J=1-0    SO J=3-2 K=2-1
22_0    5.589728718305607e-11    5.905651745310604e-11    5.0899483854872505e-11    4.293238351833601e-11    9.250088623845527e-11    1.5698160736363086e-10    3.655364375718135e-11    5.2692371986987254e-11    3.351137986033616e-11    4.594386551371543e-11    3.593614105141728e-11
23_0    5.277665708645865e-11    5.921076460300563e-11    6.201176684910578e-11    5.098159775053575e-11    1.005616508067596e-10    1.5053006229907854e-10    4.280589565409215e-11    3.9795285751725307e-11    3.0657583146828386e-11    5.3146061833679686e-11    4.3225647612257605e-11
24_0    5.1591685142918686e-11    6.53077039561747e-11    4.519394988658095e-11    4.1294654586040874e-11    1.2313382758831617e-10    1.523901870782018e-10    4.608274437301393e-11    2.9619894214691846e-11    3.410318995069603e-11    3.9082171841027676e-11    4.3016104819364515e-11
25_0    4.5310231279368304e-11    6.526471885743574e-11    4.4541007635568775e-11    4.8548118840132034e-11    1.256017593947219e-10    1.573919738744981e-10    4.235367564070976e-11    3.110488875354268e-11    4.0915113606490256e-11    4.273604018032824e-11    4.246060777763439e-11
26_0    4.5591434212546483e-11    6.476588171415271e-11    5.305013605185782e-11    5.909419544656435e-11    1.3112666543382482e-10    1.5773810938176691e-10    4.229965855755638e-11    4.140302563584647e-11    3.669605927239251e-11    3.956793290796861e-11    3.750038138372467e-11
27_0    5.874272587463713e-11    6.641349032523443e-11    4.378330032776003e-11    5.0834846234386686e-11    1.2792173774198225e-10    1.284706058326626e-10    3.9171424317117854e-11    2.772476450041204e-11    2.668105636781026e-11    3.433391871616904e-11    3.394998438838202e-11
28_0    5.973281288129564e-11    6.439952746357616e-11    4.9301482956345094e-11    4.7987471086669226e-11    1.057890921413956e-10    1.3181649765148011e-10    3.882588272914847e-11    3.911883917630151e-11    3.8562122212059535e-11    4.830257837606226e-11    3.377757397684525e-11
29_0    5.4673496402955406e-11    5.773698452599298e-11    4.6408498746288355e-11    4.9759186101900716e-11    9.082139348888367e-11    1.4383087350368086e-10    4.046030880190568e-11    3.916506489995457e-11    4.729889461783197e-11    4.759218316591308e-11    2.986630775184743e-11
30_0    5.6985652341442404e-11    5.5740070178962045e-11    4.5254684076231474e-11    5.427747790987595e-11    9.271743663072794e-11    1.390243222616176e-10    3.64015824798156e-11    3.622907152677423e-11    4.552647324613422e-11    3.716261655430657e-11    3.4510251968400294e-11
31_0    5.490231187846027e-11    5.3555410331032285e-11    4.6413356345179946e-11    4.798331587520073e-11    8.427307627345184e-11    1.4884286225552148e-10    3.772943302596994e-11    2.2918866803625896e-11    2.8794721573454653e-11    3.536455891290641e-11    3.316447522280612e-11
32_0    5.0683324367398886e-11    5.935442896343633e-11    4.548435476066751e-11    4.33119947640526e-11    8.891835842303968e-11    1.6063311290367665e-10    3.837389250235826e-11    1.7274861358985103e-11    3.3972472840023676e-11    5.001426010645947e-11    4.251581858186518e-11
33_0    4.314695276776495e-11    5.99326508433877e-11    4.034282069175312e-11    5.0663463248233915e-11    1.0800038773218281e-10    1.6328276098383491e-10    3.058566085343892e-11    3.7535613998473136e-11    4.609182555173763e-11    5.1168288421921356e-11    4.251789370963118e-11
34_0    5.053790648960689e-11    5.664789667504204e-11    5.581542364543825e-11    4.1092674133620135e-11    1.0068424495606125e-10    1.3838916312905242e-10    3.130054992032608e-11    4.10209820177718e-11    4.445760183800273e-11    4.63858799389254e-11    3.078459689977675e-11
35_0    5.885097831075898e-11    5.530484029770842e-11    4.829454673698414e-11    6.60086891812498e-11    7.453249290730654e-11    1.3257694061194484e-10    3.1687303733600393e-11    2.5935948483731348e-11    5.2342445122631955e-11    3.895956890295002e-11    2.8699403636322205e-11
36_0    5.7639947426009295e-11    5.031778595703999e-11    5.7829942343661815e-11    5.689673614515659e-11    6.941235768089498e-11    1.6604552046518397e-10    2.965859833667543e-11    2.6442268151897423e-11    4.8253710134256297e-11    4.3599279863160475e-11    2.6626322803414847e-11
37_0    4.883832437222586e-11    4.2914641175766885e-11    5.1623962061491526e-11    4.944646596605782e-11    7.574403393509043e-11    1.5566126455636092e-10    3.422904791018924e-11    3.6309824015804924e-11    3.9449516569413635e-11    4.5420458054684325e-11    3.4230025135977735e-11
38_0    4.9169524529159496e-11    4.523907858068452e-11    5.964052000771872e-11    5.4961606796069044e-11    8.031064788278448e-11    1.1493442238753609e-10    3.4624418720669783e-11    5.250447797019913e-11    3.1558084500850156e-11    4.757407569222684e-11    3.478034563616114e-11
39_0    5.1212006369493164e-11    4.7317975006968814e-11    4.177618875767087e-11    4.983632433500623e-11    8.753046150908542e-11    1.1335407273195415e-10    3.1355859553060385e-11    3.952925550159558e-11    4.4268695564444574e-11    4.795833706093658e-11    3.1755779250002566e-11
40_0    4.821056447848389e-11    4.2051651075800294e-11    3.831355165303562e-11    5.211625828828859e-11    9.199509480362223e-11    1.0716078651710045e-10    2.932580990457125e-11    3.594368879426367e-11    5.7943187335991175e-11    4.238466580101861e-11    2.8045197052353297e-11
41_0    4.9065279778478855e-11    4.4543036820067044e-11    4.757556528700564e-11    4.81585902498716e-11    9.162950412463943e-11    1.025055801731746e-10    3.265230401673046e-11    3.7818895916713944e-11    4.2070197359810216e-11    4.0449346502849496e-11    2.985436448932462e-11
42_0    4.8524916182049184e-11    5.1901575466094227e-11    5.215206970239186e-11    5.076050212616472e-11    9.773932264528782e-11    1.2466645234096748e-10    2.9951243051128245e-11    3.3959223710349244e-11    3.723542212939059e-11    4.575867159838278e-11    3.191859219562158e-11
43_0    5.393223634148243e-11    5.60701905794338e-11    4.9560917086621333e-11    4.67844983926963e-11    9.504301213994663e-11    1.4055534657450544e-10    2.5814475457673835e-11    1.9605874890505683e-11    4.1930382979791434e-11    4.521394346486456e-11    3.112891585771123e-11
44_0    5.27846275281321e-11    5.65866657051649e-11    4.5111441722951465e-11    5.5716170414037554e-11    9.306221456184612e-11    1.4710741745023133e-10    3.3251070429266606e-11    2.3788002562981383e-11    4.152803731703284e-11    4.074654341752754e-11    2.5747229886739557e-11
0_1    6.484087755138165e-11    5.846113653331096e-11    3.431756581395908e-11    3.101765340509192e-11    1.0175857400379785e-10    2.139074705018241e-10    3.527007883200216e-11    3.0913371027382173e-11    3.034111621994514e-11    2.8047188671753778e-11    3.482320153567642e-11
