n,ell,line,a0_best,a1_best,target_best
643,1,cn_n1_j1d5__n0_j0d5,3.0,0.01,
643,2,cs_j2__j1,3.0,0.01,
643,3,so_n2_j3__n1_j2,3.0,0.01,
643,4,hcop_j1__j0,3.0,0.01,
643,5,hcn_j1_f2__j0_f1,3.0,0.01,
643,6,hnc_j1__j0,3.0,0.01,
643,7,c2h_n1d0_j1d5_f2d0__n0d0_j0d5_f1d0,3.0,0.01,
643,8,13c_o_j1__j0,3.0,0.01,
643,9,c_18o_j1__j0,3.0,0.01,
643,10,c_c3h2_j2_ka1_kc2__j1_ka0_kc1,3.0,0.01,
644,0,co_v0_j1__v0_j0,3.0,0.01,
644,1,cn_n1_j1d5__n0_j0d5,3.0,0.01,
644,2,cs_j2__j1,3.0,0.01,
644,3,so_n2_j3__n1_j2,3.0,0.01,
644,4,hcop_j1__j0,3.0,0.01,
644,5,hcn_j1_f2__j0_f1,3.0,0.01,
644,6,hnc_j1__j0,3.0,0.01,
644,7,c2h_n1d0_j1d5_f2d0__n0d0_j0d5_f1d0,3.0,0.01,
644,8,13c_o_j1__j0,3.0,0.01,
644,9,c_18o_j1__j0,3.0,0.01,
644,10,c_c3h2_j2_ka1_kc2__j1_ka0_kc1,3.0,0.01,
645,0,co_v0_j1__v0_j0,3.0,0.01,
645,1,cn_n1_j1d5__n0_j0d5,3.0,0.01,
645,2,cs_j2__j1,3.0,0.01,
645,3,so_n2_j3__n1_j2,3.0,0.01,
645,4,hcop_j1__j0,3.0,0.01,
645,5,hcn_j1_f2__j0_f1,3.0,0.01,
645,6,hnc_j1__j0,3.0,0.01,
645,7,c2h_n1d0_j1d5_f2d0__n0d0_j0d5_f1d0,3.0,0.01,
645,8,13c_o_j1__j0,3.0,0.01,
645,9,c_18o_j1__j0,3.0,0.01,
645,10,c_c3h2_j2_ka1_kc2__j1_ka0_kc1,3.0,0.01,
646,0,co_v0_j1__v0_j0,3.0,0.01,
646,1,cn_n1_j1d5__n0_j0d5,3.0,0.01,
646,2,cs_j2__j1,3.0,0.01,
646,3,so_n2_j3__n1_j2,3.0,0.01,
646,4,hcop_j1__j0,3.0,0.01,
646,5,hcn_j1_f2__j0_f1,3.0,0.01,
646,6,hnc_j1__j0,3.0,0.01,
646,7,c2h_n1d0_j1d5_f2d0__n0d0_j0d5_f1d0,3.0,0.01,
646,8,13c_o_j1__j0,3.0,0.01,
646,9,c_18o_j1__j0,3.0,0.01,
646,10,c_c3h2_j2_ka1_kc2__j1_ka0_kc1,3.0,0.01,
647,0,co_v0_j1__v0_j0,3.0,0.01,
647,1,cn_n1_j1d5__n0_j0d5,3.0,0.01,
647,2,cs_j2__j1,3.0,0.01,
647,3,so_n2_j3__n1_j2,3.0,0.01,
647,4,hcop_j1__j0,3.0,0.01,
647,5,hcn_j1_f2__j0_f1,3.0,0.01,
647,6,hnc_j1__j0,3.0,0.01,
647,7,c2h_n1d0_j1d5_f2d0__n0d0_j0d5_f1d0,3.0,0.01,
647,8,13c_o_j1__j0,3.0,0.01,
647,9,c_18o_j1__j0,3.0,0.01,
647,10,c_c3h2_j2_ka1_kc2__j1_ka0_kc1,3.0,0.01,
648,0,co_v0_j1__v0_j0,3.0,0.01,
648,1,cn_n1_j1d5__n0_j0d5,3.0,0.01,
648,2,cs_j2__j1,3.0,0.01,
648,3,so_n2_j3__n1_j2,3.0,0.01,
648,4,hcop_j1__j0,3.0,0.01,
648,5,hcn_j1_f2__j0_f1,3.0,0.01,
648,6,hnc_j1__j0,3.0,0.01,
648,7,c2h_n1d0_j1d5_f2d0__n0d0_j0d5_f1d0,3.0,0.01,
648,8,13c_o_j1__j0,3.0,0.01,
648,9,c_18o_j1__j0,3.0,0.01,
648,10,c_c3h2_j2_ka1_kc2__j1_ka0_kc1,3.0,0.01,
649,0,co_v0_j1__v0_j0,3.0,0.01,
649,1,cn_n1_j1d5__n0_j0d5,3.0,0.01,
649,2,cs_j2__j1,3.0,0.01,
649,3,so_n2_j3__n1_j2,3.0,0.01,
649,4,hcop_j1__j0,3.0,0.01,
649,5,hcn_j1_f2__j0_f1,3.0,0.01,
649,6,hnc_j1__j0,3.0,0.01,
649,7,c2h_n1d0_j1d5_f2d0__n0d0_j0d5_f1d0,3.0,0.01,
649,8,13c_o_j1__j0,3.0,0.01,
649,9,c_18o_j1__j0,3.0,0.01,
649,10,c_c3h2_j2_ka1_kc2__j1_ka0_kc1,3.0,0.01,
650,0,co_v0_j1__v0_j0,3.0,0.01,
650,1,cn_n1_j1d5__n0_j0d5,3.0,0.01,
650,2,cs_j2__j1,3.0,0.01,
650,3,so_n2_j3__n1_j2,3.0,0.01,
650,4,hcop_j1__j0,3.0,0.01,
650,5,hcn_j1_f2__j0_f1,3.0,0.01,
650,6,hnc_j1__j0,3.0,0.01,
650,7,c2h_n1d0_j1d5_f2d0__n0d0_j0d5_f1d0,3.0,0.01,
650,8,13c_o_j1__j0,3.0,0.01,
650,9,c_18o_j1__j0,3.0,0.01,
650,10,c_c3h2_j2_ka1_kc2__j1_ka0_kc1,3.0,0.01,
651,0,co_v0_j1__v0_j0,3.0,0.01,
651,1,cn_n1_j1d5__n0_j0d5,3.0,0.01,
651,2,cs_j2__j1,3.0,0.01,
651,3,so_n2_j3__n1_j2,3.0,0.01,
651,4,hcop_j1__j0,3.0,0.01,
651,5,hcn_j1_f2__j0_f1,3.0,0.01,
651,6,hnc_j1__j0,3.0,0.01,
651,7,c2h_n1d0_j1d5_f2d0__n0d0_j0d5_f1d0,3.0,0.01,
651,8,13c_o_j1__j0,3.0,0.01,
651,9,c_18o_j1__j0,3.0,0.01,
651,10,c_c3h2_j2_ka1_kc2__j1_ka0_kc1,3.0,0.01,
652,0,co_v0_j1__v0_j0,3.0,0.01,
652,1,cn_n1_j1d5__n0_j0d5,3.0,0.01,
652,2,cs_j2__j1,3.0,0.01,
652,3,so_n2_j3__n1_j2,3.0,0.01,
652,4,hcop_j1__j0,3.0,0.01,
652,5,hcn_j1_f2__j0_f1,3.0,0.01,
652,6,hnc_j1__j0,3.0,0.01,
652,7,c2h_n1d0_j1d5_f2d0__n0d0_j0d5_f1d0,3.0,0.01,
652,8,13c_o_j1__j0,3.0,0.01,
652,9,c_18o_j1__j0,3.0,0.01,
652,10,c_c3h2_j2_ka1_kc2__j1_ka0_kc1,3.0,0.01,
653,0,co_v0_j1__v0_j0,3.0,0.01,
653,1,cn_n1_j1d5__n0_j0d5,3.0,0.01,
653,2,cs_j2__j1,3.0,0.01,
653,3,so_n2_j3__n1_j2,3.0,0.01,
653,4,hcop_j1__j0,3.0,0.01,
653,5,hcn_j1_f2__j0_f1,3.0,0.01,
653,6,hnc_j1__j0,3.0,0.01,
653,7,c2h_n1d0_j1d5_f2d0__n0d0_j0d5_f1d0,3.0,0.01,
653,8,13c_o_j1__j0,3.0,0.01,
653,9,c_18o_j1__j0,3.0,0.01,
653,10,c_c3h2_j2_ka1_kc2__j1_ka0_kc1,3.0,0.01,
654,0,co_v0_j1__v0_j0,3.0,0.01,
654,1,cn_n1_j1d5__n0_j0d5,3.0,0.01,
654,2,cs_j2__j1,3.0,0.01,
654,3,so_n2_j3__n1_j2,3.0,0.01,
654,4,hcop_j1__j0,3.0,0.01,
654,5,hcn_j1_f2__j0_f1,3.0,0.01,
654,6,hnc_j1__j0,3.0,0.01,
654,7,c2h_n1d0_j1d5_f2d0__n0d0_j0d5_f1d0,3.0,0.01,
654,8,13c_o_j1__j0,3.0,0.01,
654,9,c_18o_j1__j0,3.0,0.01,
654,10,c_c3h2_j2_ka1_kc2__j1_ka0_kc1,3.0,0.01,
655,0,co_v0_j1__v0_j0,3.0,0.01,
655,1,cn_n1_j1d5__n0_j0d5,3.0,0.01,
655,2,cs_j2__j1,3.0,0.01,
655,3,so_n2_j3__n1_j2,3.0,0.01,
655,4,hcop_j1__j0,3.0,0.01,
655,5,hcn_j1_f2__j0_f1,3.0,0.01,
655,6,hnc_j1__j0,3.0,0.01,
655,7,c2h_n1d0_j1d5_f2d0__n0d0_j0d5_f1d0,3.0,0.01,
655,8,13c_o_j1__j0,3.0,0.01,
655,9,c_18o_j1__j0,3.0,0.01,
655,10,c_c3h2_j2_ka1_kc2__j1_ka0_kc1,3.0,0.01,
656,0,co_v0_j1__v0_j0,3.0,0.01,
656,1,cn_n1_j1d5__n0_j0d5,3.0,0.01,
656,2,cs_j2__j1,3.0,0.01,
656,3,so_n2_j3__n1_j2,3.0,0.01,
656,4,hcop_j1__j0,3.0,0.01,
656,5,hcn_j1_f2__j0_f1,3.0,0.01,
656,6,hnc_j1__j0,3.0,0.01,
656,7,c2h_n1d0_j1d5_f2d0__n0d0_j0d5_f1d0,3.0,0.01,
656,8,13c_o_j1__j0,3.0,0.01,
656,9,c_18o_j1__j0,3.0,0.01,
656,10,c_c3h2_j2_ka1_kc2__j1_ka0_kc1,3.0,0.01,
657,0,co_v0_j1__v0_j0,3.0,0.01,
657,1,cn_n1_j1d5__n0_j0d5,3.0,0.01,
657,2,cs_j2__j1,3.0,0.01,
657,3,so_n2_j3__n1_j2,3.0,0.01,
657,4,hcop_j1__j0,3.0,0.01,
657,5,hcn_j1_f2__j0_f1,3.0,0.01,
657,6,hnc_j1__j0,3.0,0.01,
657,7,c2h_n1d0_j1d5_f2d0__n0d0_j0d5_f1d0,3.0,0.01,
657,8,13c_o_j1__j0,3.0,0.01,
657,9,c_18o_j1__j0,3.0,0.01,
657,10,c_c3h2_j2_ka1_kc2__j1_ka0_kc1,3.0,0.01,
658,0,co_v0_j1__v0_j0,3.0,0.01,
658,1,cn_n1_j1d5__n0_j0d5,3.0,0.01,
658,2,cs_j2__j1,3.0,0.01,
658,3,so_n2_j3__n1_j2,3.0,0.01,
658,4,hcop_j1__j0,3.0,0.01,
658,5,hcn_j1_f2__j0_f1,3.0,0.01,
658,6,hnc_j1__j0,3.0,0.01,
658,7,c2h_n1d0_j1d5_f2d0__n0d0_j0d5_f1d0,3.0,0.01,
658,8,13c_o_j1__j0,3.0,0.01,
658,9,c_18o_j1__j0,3.0,0.01,
658,10,c_c3h2_j2_ka1_kc2__j1_ka0_kc1,3.0,0.01,
659,0,co_v0_j1__v0_j0,3.0,0.01,
659,1,cn_n1_j1d5__n0_j0d5,3.0,0.01,
659,2,cs_j2__j1,3.0,0.01,
659,3,so_n2_j3__n1_j2,3.0,0.01,
659,4,hcop_j1__j0,3.0,0.01,
659,5,hcn_j1_f2__j0_f1,3.0,0.01,
659,6,hnc_j1__j0,3.0,0.01,
659,7,c2h_n1d0_j1d5_f2d0__n0d0_j0d5_f1d0,3.0,0.01,
659,8,13c_o_j1__j0,3.0,0.01,
659,9,c_18o_j1__j0,3.0,0.01,
659,10,c_c3h2_j2_ka1_kc2__j1_ka0_kc1,3.0,0.01,
660,0,co_v0_j1__v0_j0,3.0,0.01,
660,1,cn_n1_j1d5__n0_j0d5,3.0,0.01,
660,2,cs_j2__j1,3.0,0.01,
660,3,so_n2_j3__n1_j2,3.0,0.01,
660,4,hcop_j1__j0,3.0,0.01,
660,5,hcn_j1_f2__j0_f1,3.0,0.01,
660,6,hnc_j1__j0,3.0,0.01,
660,7,c2h_n1d0_j1d5_f2d0__n0d0_j0d5_f1d0,3.0,0.01,
660,8,13c_o_j1__j0,3.0,0.01,
660,9,c_18o_j1__j0,3.0,0.01,
660,10,c_c3h2_j2_ka1_kc2__j1_ka0_kc1,3.0,0.01,
661,0,co_v0_j1__v0_j0,3.0,0.01,
661,1,cn_n1_j1d5__n0_j0d5,3.0,0.01,
661,2,cs_j2__j1,3.0,0.01,
661,3,so_n2_j3__n1_j2,3.0,0.01,
661,4,hcop_j1__j0,3.0,0.01,
661,5,hcn_j1_f2__j0_f1,3.0,0.01,
661,6,hnc_j1__j0,3.0,0.01,
661,7,c2h_n1d0_j1d5_f2d0__n0d0_j0d5_f1d0,3.0,0.01,
661,8,13c_o_j1__j0,3.0,0.01,
661,9,c_18o_j1__j0,3.0,0.01,
661,10,c_c3h2_j2_ka1_kc2__j1_ka0_kc1,3.0,0.01,
662,0,co_v0_j1__v0_j0,3.0,0.01,
662,1,cn_n1_j1d5__n0_j0d5,3.0,0.01,
662,2,cs_j2__j1,3.0,0.01,
662,3,so_n2_j3__n1_j2,3.0,0.01,
662,4,hcop_j1__j0,3.0,0.01,
662,5,hcn_j1_f2__j0_f1,3.0,0.01,
662,6,hnc_j1__j0,3.0,0.01,
662,7,c2h_n1d0_j1d5_f2d0__n0d0_j0d5_f1d0,3.0,0.01,
662,8,13c_o_j1__j0,3.0,0.01,
662,9,c_18o_j1__j0,3.0,0.01,
662,10,c_c3h2_j2_ka1_kc2__j1_ka0_kc1,3.0,0.01,
663,0,co_v0_j1__v0_j0,3.0,0.01,
663,1,cn_n1_j1d5__n0_j0d5,3.0,0.01,
663,2,cs_j2__j1,3.0,0.01,
663,3,so_n2_j3__n1_j2,3.0,0.01,
663,4,hcop_j1__j0,3.0,0.01,
663,5,hcn_j1_f2__j0_f1,3.0,0.01,
663,6,hnc_j1__j0,3.0,0.01,
663,7,c2h_n1d0_j1d5_f2d0__n0d0_j0d5_f1d0,3.0,0.01,
663,8,13c_o_j1__j0,3.0,0.01,
663,9,c_18o_j1__j0,3.0,0.01,
663,10,c_c3h2_j2_ka1_kc2__j1_ka0_kc1,3.0,0.01,
664,0,co_v0_j1__v0_j0,3.0,0.01,
664,1,cn_n1_j1d5__n0_j0d5,3.0,0.01,
664,2,cs_j2__j1,3.0,0.01,
664,3,so_n2_j3__n1_j2,3.0,0.01,
664,4,hcop_j1__j0,3.0,0.01,
664,5,hcn_j1_f2__j0_f1,3.0,0.01,
664,6,hnc_j1__j0,3.0,0.01,
664,7,c2h_n1d0_j1d5_f2d0__n0d0_j0d5_f1d0,3.0,0.01,
664,8,13c_o_j1__j0,3.0,0.01,
664,9,c_18o_j1__j0,3.0,0.01,
664,10,c_c3h2_j2_ka1_kc2__j1_ka0_kc1,3.0,0.01,
665,0,co_v0_j1__v0_j0,3.0,0.01,
665,1,cn_n1_j1d5__n0_j0d5,3.0,0.01,
665,2,cs_j2__j1,3.0,0.01,
665,3,so_n2_j3__n1_j2,3.0,0.01,
665,4,hcop_j1__j0,3.0,0.01,
665,5,hcn_j1_f2__j0_f1,3.0,0.01,
665,6,hnc_j1__j0,3.0,0.01,
665,7,c2h_n1d0_j1d5_f2d0__n0d0_j0d5_f1d0,3.0,0.01,
665,8,13c_o_j1__j0,3.0,0.01,
665,9,c_18o_j1__j0,3.0,0.01,
665,10,c_c3h2_j2_ka1_kc2__j1_ka0_kc1,3.0,0.01,
666,0,co_v0_j1__v0_j0,3.0,0.01,
666,1,cn_n1_j1d5__n0_j0d5,3.0,0.01,
666,2,cs_j2__j1,3.0,0.01,
666,3,so_n2_j3__n1_j2,3.0,0.01,
666,4,hcop_j1__j0,3.0,0.01,
666,5,hcn_j1_f2__j0_f1,3.0,0.01,
666,6,hnc_j1__j0,3.0,0.01,
666,7,c2h_n1d0_j1d5_f2d0__n0d0_j0d5_f1d0,3.0,0.01,
666,8,13c_o_j1__j0,3.0,0.01,
666,9,c_18o_j1__j0,3.0,0.01,
666,10,c_c3h2_j2_ka1_kc2__j1_ka0_kc1,3.0,0.01,
667,0,co_v0_j1__v0_j0,3.0,0.01,
667,1,cn_n1_j1d5__n0_j0d5,3.0,0.01,
667,2,cs_j2__j1,3.0,0.01,
667,3,so_n2_j3__n1_j2,3.0,0.01,
667,4,hcop_j1__j0,3.0,0.01,
667,5,hcn_j1_f2__j0_f1,3.0,0.01,
667,6,hnc_j1__j0,3.0,0.01,
667,7,c2h_n1d0_j1d5_f2d0__n0d0_j0d5_f1d0,3.0,0.01,
667,8,13c_o_j1__j0,3.0,0.01,
667,9,c_18o_j1__j0,3.0,0.01,
667,10,c_c3h2_j2_ka1_kc2__j1_ka0_kc1,3.0,0.01,
668,0,co_v0_j1__v0_j0,3.0,0.01,
668,1,cn_n1_j1d5__n0_j0d5,3.0,0.01,
668,2,cs_j2__j1,3.0,0.01,
668,3,so_n2_j3__n1_j2,3.0,0.01,
668,4,hcop_j1__j0,3.0,0.01,
668,5,hcn_j1_f2__j0_f1,3.0,0.01,
668,6,hnc_j1__j0,3.0,0.01,
